"X.1" "X.2" "X.3" "X.4" "X.5" "X.6" "X.7" "X.8" "X.9" "X.10" "X.11" "X.12" "X.13" "X.14" "X.15" "X.16" "X.17" "X.18" "X.19" "X.20" "X.21" "X.22" "X.23" "X.24" "X.25" "X.26" "X.27" "X.28" "X.29" "X.30" "X.31" "X.32" "X.33" "X.34" "X.35" "X.36" "X.37" "X.38" "X.39" "X.40" "X.41" "X.42" "X.43" "X.44" "X.45" "X.46" "X.47" "X.48" "X.49" "X.50" "X.51" "X.52" "X.53" "X.54" "X.55" "X.56" "X.57" "X.58" "X.59" "X.60" "X.61" "X.62" "X.63" "X.64" "X.65" "X.66" "X.67" "X.68" "X.69" "X.70" "X.71" "X.72" "X.73" "X.74" "X.75" "X.76" "X.77" "X.78" "X.79" "X.80" "X.81" "X.82" "X.83" "X.84" "X.85" "X.86" "X.87" "X.88" "X.89" "X.90" "X.91" "X.92" "X.93" "X.94" "X.95" "X.96" "X.97" "X.98" "X.99" "X.100" "X.101" "X.102" "X.103" "X.104" "X.105" "X.106" "X.107" "X.108" "X.109" "X.110" "X.111" "X.112" "X.113" "X.114" "X.115" "X.116" "X.117" "X.118" "X.119" "X.120" "X.121" "X.122" "X.123" "X.124" "X.125" "X.126" "X.127" "X.128" "X.129" "X.130" "X.131" "X.132" "X.133" "X.134" "X.135" "X.136" "X.137" "X.138" "X.139" "X.140" "X.141" "X.142" "X.143" "X.144" "X.145" "X.146" "X.147" "X.148" "X.149" "X.150" "X.151" "X.152" "X.153" "X.154" "X.155" "X.156" "X.157" "X.158" "X.159" "X.160" "X.161" "X.162" "X.163" "X.164" "X.165" "X.166" "X.167" "X.168" "X.169" "X.170" "X.171" "X.172" "X.173" "X.174" "X.175" "X.176" "X.177" "X.178" "X.179" "X.180" "X.181" "X.182" "X.183" "X.184" "X.185" "X.186" "X.187" "X.188" "X.189" "X.190" "X.191" "X.192" "X.193" "X.194" "X.195" "X.196" "X.197" "X.198" "X.199" "X.200" "X.201" "X.202" "X.203" "X.204" "X.205" "X.206" "X.207" "X.208" "X.209" "X.210" "X.211" "X.212" "X.213" "X.214" "X.215" "X.216" "X.217" "X.218" "X.219" "X.220" "X.221" "X.222" "X.223" "X.224" "X.225" "X.226" "X.227" "X.228" "X.229" "X.230" "X.231" "X.232" "X.233" "X.234" "X.235" "X.236" "X.237" "X.238" "X.239" "X.240" "X.241" "X.242" "X.243" "X.244" "X.245" "X.246" "X.247" "X.248" "X.249" "X.250" "X.251" "X.252" "X.253" "X.254" "X.255" "X.256" "X.257" "X.258" "X.259" "X.260" "X.261" "X.262" "X.263" "X.264" "X.265" "X.266" "X.267" "X.268" "y" "train"
3.0663 3.0861 3.1079 3.0972 2.9979 2.8273 2.6233 2.4039 2.1931 2.0058 1.8379 1.6907 1.5777 1.5033 1.4381 1.3373 1.2206 1.141 1.1161 1.1329 1.1604 1.1638 1.1527 1.1515 1.1277 1.0681 1.0197 1.0084 1.0321 1.0828 1.1408 1.1788 1.2018 1.2349 1.2776 1.3125 1.3431 1.3766 1.4145 1.4571 1.5031 1.5457 1.5762 1.6084 1.6605 1.7264 1.7977 1.8791 1.9835 2.1216 2.2734 2.4047 2.5122 2.6176 2.7415 2.8889 3.0358 3.1401 3.1976 3.2279 3.2512 3.2835 3.3212 3.3514 3.367 3.359 3.3159 3.2437 3.1262 2.9523 2.7794 2.6562 2.5837 2.5444 2.5277 2.5333 2.5613 2.6092 2.6722 2.7478 2.8329 2.9196 3.0015 3.0733 3.1329 3.1796 3.2105 3.2331 3.2502 3.2586 3.2692 3.2772 3.2773 3.2683 3.2452 3.2278 3.2205 3.2091 3.1986 3.1937 3.1872 3.1732 3.154 3.1392 3.1267 3.1084 3.0922 3.0802 3.0668 3.0553 3.0462 3.0344 3.0206 3.006 2.9881 2.9677 2.9488 2.9304 2.9088 2.882 2.8537 2.8241 2.7893 2.7557 2.726 2.6924 2.6536 2.6072 2.5405 2.45 2.352 2.2615 2.1826 2.1145 2.0522 1.9894 1.9224 1.8526 1.7848 1.7248 1.6786 1.6477 1.6238 1.5915 1.5351 1.4468 1.3313 1.2072 1.0979 1.0223 .98235 .96873 .96943 .97208 .96891 .95732 .93511 .90178 .86321 .82637 .79551 .76532 .72361 .66715 .6073 .55709 .51899 .48948 .46553 .44558 .42895 .41522 .40396 .39468 .38694 .38034 .37455 .36945 .36513 .36175 .35944 .35826 .35811 .35872 .35992 .36171 .36414 .3673 .37142 .37653 .38241 .38869 .39506 .40145 .40788 .41431 .42052 .42601 .42998 .43154 .43035 .42697 .4225 .41825 .41552 .41521 .41748 .42162 .42685 .43381 .44468 .46086 .48147 .50364 .52455 .54347 .56134 .57942 .60036 .62888 .6676 .71161 .74849 .76797 .77298 .77332 .77099 .7619 .74646 .73044 .71725 .70428 .68814 .66857 .64598 .62081 .59539 .57245 .55306 .53702 .52345 .51154 .50104 .49145 .48152 .47018 .4569 .44182 .4259 .41059 .39677 .38416 .37199 .36018 .34883 .33808 .32838 .32001 .31308 .30753 .30313 .2998 .29748 .29592 .29489 .2944 .29432 .29443 100 1
3.0675 3.0857 3.0958 3.0692 2.9818 2.8408 2.676 2.5059 2.3506 2.223 2.1192 2.0352 1.9795 1.9554 1.9396 1.8931 1.8198 1.755 1.7122 1.6832 1.6461 1.581 1.5091 1.4521 1.3802 1.2865 1.2045 1.1508 1.1308 1.1438 1.1761 1.2041 1.2292 1.269 1.318 1.3574 1.3924 1.4335 1.4792 1.5239 1.5657 1.6045 1.6366 1.6725 1.726 1.7932 1.8686 1.9561 2.0683 2.2159 2.3712 2.4851 2.559 2.6399 2.7597 2.9196 3.0851 3.1855 3.2077 3.2086 3.2257 3.259 3.2948 3.3264 3.3504 3.3609 3.3297 3.2577 3.124 2.8986 2.6815 2.5399 2.4638 2.4274 2.416 2.4249 2.454 2.5024 2.5677 2.6458 2.7312 2.8192 2.9053 2.9842 3.0542 3.1125 3.1623 3.2021 3.2261 3.2396 3.2471 3.2524 3.2528 3.2509 3.2488 3.2413 3.23 3.2125 3.1908 3.1746 3.1665 3.1568 3.1366 3.1168 3.1036 3.087 3.0661 3.047 3.0316 3.019 3.0068 2.9941 2.9808 2.9678 2.9513 2.9296 2.9083 2.8884 2.8676 2.8408 2.8082 2.7738 2.7401 2.7084 2.6762 2.6422 2.6003 2.5485 2.4831 2.3965 2.302 2.2142 2.1365 2.0681 2.0062 1.9456 1.8817 1.8135 1.7458 1.6854 1.6382 1.6045 1.5763 1.5392 1.48 1.3956 1.2905 1.1817 1.089 1.0246 .98747 .96987 .96509 .96567 .96122 .94465 .91598 .87981 .8428 .80988 .78279 .75227 .7064 .64862 .5921 .54623 .51148 .48445 .46251 .44425 .42903 .41642 .40605 .3975 .39039 .38431 .37903 .37447 .37064 .36768 .36577 .36489 .36488 .36562 .36691 .36866 .37109 .37435 .37843 .38336 .389 .39496 .40097 .40699 .41298 .41893 .42476 .43 .4339 .43583 .43557 .43358 .43088 .42864 .42798 .42972 .43389 .43978 .44676 .45544 .4676 .48429 .50455 .52586 .54594 .56418 .5812 .59803 .61709 .64239 .67568 .71198 .741 .75583 .76058 .76421 .76916 .77233 .77165 .76655 .75539 .73598 .71012 .68303 .65673 .63022 .60396 .57987 .55894 .54092 .525 .51086 .4984 .48715 .4766 .46636 .45571 .44413 .43148 .41788 .40389 .39018 .37691 .36412 .35194 .34082 .33122 .32323 .31686 .31195 .30806 .30499 .30283 .30149 .30066 .30031 .3003 .30041 80.22 1
3.075 3.0966 3.0916 3.0288 2.8849 2.6885 2.4764 2.2694 2.0824 1.9195 1.7747 1.649 1.5533 1.4907 1.4363 1.354 1.2603 1.1979 1.1788 1.19 1.2053 1.1985 1.1804 1.1727 1.1513 1.1042 1.0665 1.0593 1.0807 1.1245 1.1751 1.2105 1.2357 1.2724 1.3204 1.3659 1.4096 1.4529 1.4976 1.546 1.5938 1.632 1.6575 1.6918 1.7518 1.8215 1.8862 1.9618 2.0727 2.223 2.3876 2.5381 2.6614 2.7637 2.8644 2.9774 3.0972 3.1887 3.2271 3.2448 3.2838 3.3285 3.3538 3.3764 3.3896 3.3667 3.3145 3.2266 3.0409 2.8017 2.6094 2.4879 2.4199 2.3875 2.38 2.3926 2.4244 2.4747 2.5401 2.6181 2.7061 2.7947 2.8782 2.961 3.0397 3.1053 3.1609 3.2047 3.2294 3.2436 3.2559 3.2638 3.2606 3.2489 3.2372 3.2255 3.2127 3.1988 3.185 3.1696 3.1501 3.1299 3.1112 3.092 3.076 3.0619 3.0432 3.0224 3.0055 2.9947 2.981 2.9622 2.9463 2.93 2.9091 2.8866 2.8636 2.8374 2.8058 2.7747 2.7436 2.7049 2.6659 2.6288 2.5885 2.5453 2.4986 2.4435 2.3701 2.2787 2.1837 2.0978 2.0253 1.9637 1.9081 1.8537 1.7964 1.735 1.6739 1.6201 1.5811 1.559 1.5449 1.52 1.4682 1.3854 1.2793 1.1715 1.0839 1.0264 .99373 .9785 .97561 .97556 .96874 .95167 .92322 .88488 .84445 .80914 .78145 .75225 .70873 .65284 .59801 .55402 .52105 .49547 .47468 .45751 .44333 .43155 .42185 .41395 .40746 .40193 .39712 .39299 .38954 .38688 .38524 .38457 .38469 .38553 .38706 .38911 .3917 .39503 .39923 .40425 .40998 .41618 .42245 .42862 .43474 .44069 .44627 .45129 .45512 .45696 .45673 .45504 .45273 .45082 .45056 .45277 .45739 .46374 .47114 .48019 .49281 .5103 .53191 .55492 .57674 .59689 .61636 .63667 .66085 .69249 .73179 .77257 .80412 .81955 .82342 .8248 .82465 .81828 .8053 .78937 .77181 .75052 .7254 .69906 .67289 .64675 .62115 .59753 .57685 .55948 .54519 .53283 .5216 .51141 .5017 .49144 .47986 .46675 .45222 .43679 .42174 .40788 .3951 .38335 .37256 .36253 .35353 .34613 .34026 .33545 .33164 .32891 .32703 .32573 .32493 .32464 .3246 .32474 79.49 1
3.0828 3.0973 3.101 3.0735 2.9913 2.8709 2.7392 2.6102 2.5 2.4237 2.3774 2.3526 2.3506 2.3721 2.4009 2.4042 2.3756 2.3321 2.2768 2.2053 2.1085 1.9815 1.8544 1.7459 1.631 1.5083 1.3954 1.2976 1.2297 1.2022 1.2088 1.2278 1.2553 1.3016 1.3567 1.4006 1.4399 1.4881 1.5412 1.5877 1.6249 1.6592 1.6928 1.7325 1.787 1.8548 1.9343 2.0282 2.1481 2.3036 2.4589 2.5513 2.5923 2.6528 2.7686 2.9346 3.111 3.2062 3.2019 3.1915 3.21 3.2352 3.2603 3.2975 3.3337 3.3377 3.2949 3.2351 3.097 2.8169 2.5605 2.406 2.328 2.2933 2.285 2.2969 2.3275 2.3747 2.4371 2.5129 2.598 2.6879 2.7764 2.861 2.9408 3.0118 3.0706 3.1137 3.1476 3.175 3.1908 3.1965 3.191 3.1808 3.1767 3.1746 3.165 3.1493 3.1331 3.1134 3.0893 3.0717 3.0611 3.0451 3.0224 3.0018 2.9854 2.9685 2.9541 2.9456 2.9372 2.9255 2.9097 2.8933 2.8791 2.8601 2.8397 2.8201 2.7973 2.7751 2.75 2.7165 2.6809 2.6493 2.6203 2.5863 2.5449 2.4958 2.4319 2.352 2.2644 2.1799 2.1048 2.0383 1.9779 1.9197 1.859 1.7927 1.725 1.6643 1.6158 1.5796 1.5477 1.5049 1.4414 1.3581 1.2609 1.166 1.0887 1.0347 .99942 .97663 .96524 .96287 .95665 .93488 .89989 .86141 .82631 .79731 .7739 .74286 .69303 .63437 .5812 .53939 .50764 .48281 .46266 .44592 .43195 .42036 .41079 .40287 .39628 .39071 .38591 .38183 .3785 .37599 .37442 .3738 .37399 .37479 .37609 .37788 .38036 .38365 .38773 .39255 .39793 .4036 .40927 .41487 .42051 .42615 .4316 .43654 .44044 .44285 .44362 .44316 .4423 .44209 .44359 .4474 .45344 .46113 .46992 .48031 .49373 .51083 .53064 .55115 .57042 .58781 .60388 .61953 .63663 .65837 .68569 .71397 .73535 .74604 .75098 .75804 .77037 .78596 .79992 .80539 .79578 .76955 .73416 .70002 .67048 .64306 .6162 .59079 .56798 .54782 .52966 .5133 .49874 .48584 .47486 .46588 .45797 .44993 .44056 .42853 .41426 .39958 .38519 .37124 .35833 .347 .33749 .32981 .32389 .31947 .31605 .31332 .31139 .31023 .30955 .30928 .30932 .30947 60.8 1
3.1029 3.1034 3.0848 3.0228 2.8927 2.7159 2.5384 2.3764 2.2397 2.1346 2.0534 1.9909 1.9522 1.9393 1.9337 1.9047 1.8535 1.8047 1.765 1.7266 1.6753 1.5999 1.5207 1.4575 1.3898 1.3114 1.2421 1.1904 1.163 1.1655 1.1901 1.2163 1.2443 1.288 1.3421 1.3918 1.44 1.4908 1.543 1.5931 1.6366 1.6709 1.6982 1.7365 1.7976 1.8684 1.9377 2.0199 2.1391 2.2995 2.4665 2.595 2.6826 2.7628 2.858 2.983 3.125 3.2115 3.2239 3.2267 3.2484 3.2761 3.2982 3.3229 3.3476 3.3372 3.2867 3.2119 3.0177 2.7192 2.4807 2.3432 2.2758 2.247 2.2416 2.2552 2.2888 2.3401 2.4053 2.4832 2.5701 2.6603 2.7483 2.8323 2.9123 2.9827 3.0424 3.097 3.1408 3.1664 3.182 3.1919 3.193 3.1874 3.1768 3.166 3.1556 3.1399 3.1204 3.0996 3.0812 3.0595 3.0324 3.0106 2.9907 2.9682 2.9469 2.9272 2.9113 2.8994 2.889 2.877 2.8599 2.8403 2.8206 2.799 2.7748 2.7497 2.723 2.6925 2.6586 2.6206 2.5821 2.5459 2.5079 2.4664 2.4211 2.3667 2.2955 2.2098 2.1224 2.0418 1.971 1.9099 1.8552 1.8022 1.7473 1.6876 1.6259 1.5709 1.5303 1.5058 1.488 1.4576 1.4014 1.3203 1.2235 1.1313 1.0605 1.0137 .98274 .96252 .95336 .95079 .94237 .91993 .88499 .84439 .80603 .77479 .75075 .72096 .67334 .6165 .56502 .5251 .49511 .47173 .45281 .4372 .42423 .41349 .40468 .39742 .39141 .38635 .38202 .37833 .37537 .3732 .37189 .37146 .37181 .37278 .37425 .37624 .37888 .38223 .38637 .39128 .3968 .40263 .40853 .41435 .42003 .42554 .43082 .43559 .43939 .44176 .44263 .44242 .44197 .4422 .44408 .44825 .45475 .4629 .47207 .48282 .49665 .51445 .53545 .55755 .57858 .59783 .61613 .63512 .65721 .68492 .71795 .75057 .7743 .78573 .79025 .79536 .80285 .80953 .81181 .80642 .78996 .76176 .72714 .69369 .66426 .63709 .6106 .58543 .56287 .54336 .52657 .51194 .49879 .48693 .4767 .46785 .45916 .44957 .43827 .42443 .40902 .39406 .38027 .36746 .35563 .34515 .33637 .32935 .32394 .31977 .31649 .31397 .31218 .31108 .31046 .31021 .31026 .31049 59.97 1
3.0815 3.0849 3.0487 2.9305 2.7323 2.5089 2.2944 2.0995 1.9328 1.7925 1.6693 1.5633 1.4836 1.431 1.3851 1.3193 1.2468 1.1999 1.1851 1.1896 1.1931 1.1778 1.1538 1.1405 1.122 1.0875 1.0604 1.0562 1.0742 1.1106 1.1542 1.1873 1.2147 1.2547 1.307 1.3618 1.4175 1.4692 1.519 1.5724 1.6216 1.6547 1.6754 1.7124 1.7793 1.851 1.9086 1.9792 2.0954 2.2553 2.431 2.5975 2.7325 2.8296 2.9058 2.9825 3.0743 3.1621 3.2042 3.2293 3.2794 3.3154 3.3222 3.338 3.3533 3.3176 3.2418 3.1224 2.8633 2.5717 2.3675 2.2514 2.1925 2.1672 2.1641 2.1799 2.214 2.2654 2.3321 2.4104 2.4958 2.5848 2.6741 2.7634 2.8494 2.9249 2.9928 3.0519 3.0922 3.1194 3.1398 3.1507 3.153 3.1497 3.1416 3.1266 3.1072 3.0852 3.0615 3.0416 3.0204 2.9934 2.9691 2.9451 2.9194 2.8962 2.8758 2.859 2.8415 2.8221 2.8058 2.7915 2.7768 2.7584 2.7324 2.7034 2.6764 2.6493 2.6189 2.5847 2.547 2.5057 2.4638 2.4226 2.3782 2.3305 2.2813 2.2237 2.1507 2.0656 1.9802 1.9046 1.8417 1.7885 1.7406 1.6948 1.6474 1.595 1.54 1.4918 1.4601 1.4474 1.4428 1.4239 1.3743 1.2934 1.1933 1.0994 1.0309 .98797 .95948 .9413 .93451 .93157 .92117 .89906 .86508 .82293 .78174 .74842 .7238 .69576 .65136 .59709 .54753 .50948 .48122 .45923 .44142 .4268 .41478 .40487 .39673 .39006 .38461 .38008 .37623 .37296 .37035 .36846 .36737 .36711 .36756 .36865 .37033 .37259 .37538 .37875 .3829 .38784 .39345 .39948 .40562 .41163 .41735 .42276 .42787 .43249 .43615 .43842 .43932 .43933 .4392 .43979 .4419 .44624 .45299 .46139 .47066 .48146 .49555 .51388 .53584 .55931 .58178 .60263 .62315 .64539 .67225 .70594 .74466 .78146 .80759 .81979 .8237 .82656 .82844 .8249 .81444 .7981 .77563 .74663 .71376 .68164 .65282 .6264 .60074 .5762 .55427 .53596 .52109 .50842 .49673 .48596 .47657 .46788 .45824 .44694 .43373 .41828 .40202 .38708 .37409 .36264 .35224 .34281 .33475 .32831 .32331 .31934 .3162 .31389 .31234 .3114 .3108 .31052 .31061 .31093 60.48 1
3.1272 3.1372 3.1329 3.0996 3.0249 2.9268 2.8302 2.7439 2.6808 2.6559 2.6636 2.6913 2.7359 2.7932 2.8529 2.8972 2.9127 2.8934 2.8377 2.7409 2.6002 2.4222 2.2434 2.0842 1.9296 1.7822 1.6408 1.493 1.3688 1.296 1.2755 1.286 1.3169 1.3702 1.4316 1.4801 1.5244 1.5806 1.6415 1.6892 1.721 1.751 1.7867 1.8303 1.8852 1.954 2.0389 2.1403 2.2671 2.4293 2.5851 2.6548 2.6616 2.7003 2.8099 2.9867 3.1779 3.2631 3.2418 3.2203 3.2355 3.262 3.2844 3.3193 3.3642 3.3875 3.3505 3.2879 3.1159 2.7634 2.4663 2.298 2.2193 2.188 2.1832 2.1975 2.2296 2.2792 2.3434 2.4177 2.499 2.5854 2.6756 2.7669 2.8532 2.9302 2.9956 3.0502 3.0985 3.1348 3.1522 3.163 3.1714 3.1709 3.1624 3.151 3.142 3.1283 3.1005 3.0686 3.048 3.0306 3.008 2.9877 2.9655 2.9445 2.9316 2.9208 2.9077 2.8934 2.8829 2.8747 2.8659 2.8569 2.8448 2.8291 2.8124 2.7961 2.7764 2.7519 2.7242 2.6913 2.6579 2.6289 2.5985 2.5642 2.5252 2.4748 2.4094 2.3327 2.2517 2.1716 2.0969 2.0302 1.9713 1.9166 1.8591 1.7937 1.7253 1.6632 1.6127 1.5739 1.539 1.4915 1.4236 1.3418 1.2551 1.1782 1.1203 1.0791 1.0463 1.0176 .99835 .99246 .98409 .9564 .91474 .87397 .84097 .81632 .79675 .76485 .71082 .65156 .60206 .56451 .53594 .51343 .49511 .47993 .46731 .45678 .44801 .44074 .43474 .4297 .42542 .42186 .41902 .41694 .41574 .41545 .41588 .41674 .41799 .41977 .42226 .42559 .4297 .4344 .43953 .44487 .45018 .45541 .46067 .46594 .47104 .47569 .47963 .48265 .48456 .48571 .48693 .48902 .49283 .49881 .50686 .51651 .5273 .53957 .55421 .5716 .59089 .61048 .62888 .64547 .66056 .67478 .68962 .70722 .72742 .74651 .75984 .76667 .77212 .78316 .8039 .83337 .86313 .87937 .87104 .83749 .79206 .75055 .7176 .68919 .66152 .63448 .60964 .5873 .56674 .54803 .53124 .51659 .50524 .49783 .49299 .48879 .48295 .47255 .45785 .44203 .42654 .41153 .39774 .38591 .37639 .36909 .36372 .35986 .35689 .35447 .35274 .35173 .35121 .35102 .35106 .35123 40.1 1
3.1064 3.128 3.1053 3.0299 2.8972 2.7429 2.6019 2.4836 2.3962 2.3427 2.3177 2.3148 2.3312 2.3644 2.4034 2.4258 2.4191 2.3879 2.3332 2.2503 2.1374 1.999 1.8636 1.7494 1.6416 1.5391 1.4439 1.3459 1.2639 1.2217 1.2196 1.2373 1.2683 1.3186 1.3786 1.4328 1.4854 1.5435 1.6027 1.6537 1.6917 1.7213 1.7507 1.793 1.8545 1.9258 1.9993 2.0883 2.2146 2.3813 2.5478 2.6547 2.7074 2.7654 2.8595 2.9944 3.1426 3.2242 3.2211 3.2186 3.2568 3.2912 3.3018 3.328 3.3664 3.36 3.2927 3.2131 2.9851 2.6184 2.3429 2.1934 2.1247 2.0983 2.0964 2.1131 2.1472 2.1978 2.2616 2.3352 2.4171 2.5056 2.5967 2.6878 2.7745 2.85 2.9162 2.9753 3.026 3.0631 3.0833 3.0955 3.104 3.1055 3.0973 3.0855 3.0717 3.0505 3.0258 2.9974 2.9684 2.9439 2.9193 2.894 2.87 2.8485 2.8334 2.8221 2.8101 2.7999 2.7905 2.7795 2.7669 2.7511 2.732 2.7115 2.6919 2.6705 2.6434 2.6142 2.5834 2.5475 2.5102 2.4754 2.4405 2.4021 2.3574 2.3022 2.2345 2.1564 2.0753 1.9993 1.931 1.8704 1.8171 1.7677 1.7164 1.6583 1.5964 1.5407 1.4991 1.4728 1.4523 1.4169 1.3556 1.2752 1.1882 1.1132 1.0608 1.0258 .99682 .9705 .95387 .94808 .93752 .90945 .86834 .82603 .7902 .76345 .74321 .71267 .66146 .6047 .55727 .52172 .49496 .47398 .45699 .44301 .43142 .42181 .41386 .40728 .40185 .39737 .39361 .39049 .38803 .38628 .38533 .38519 .38574 .38676 .38823 .39024 .39288 .39625 .40037 .40512 .41037 .41588 .4214 .42681 .43208 .43723 .44216 .44663 .45043 .45339 .45545 .45696 .45857 .46103 .46517 .47149 .47993 .48991 .5009 .51332 .52824 .54615 .56639 .58735 .6073 .62564 .643 .66058 .68025 .70362 .72944 .753 .76904 .77691 .78211 .79115 .80672 .82672 .84415 .84892 .83322 .79783 .75368 .71339 .68118 .65349 .62649 .59994 .57552 .55403 .53504 .51814 .50287 .4894 .47897 .47181 .46622 .46051 .45273 .4405 .42476 .40885 .39405 .3803 .36791 .35725 .34854 .34181 .33688 .33333 .33055 .3283 .32673 .32585 .32549 .32541 .32542 .32554 40 1
3.1948 3.1762 3.1096 2.9814 2.7921 2.5908 2.4109 2.2597 2.1425 2.0575 1.9953 1.9512 1.9269 1.9213 1.9217 1.9064 1.8741 1.8393 1.8035 1.759 1.6983 1.6186 1.5375 1.4728 1.414 1.3549 1.3025 1.2555 1.2222 1.2158 1.2342 1.2594 1.2902 1.3372 1.3957 1.4554 1.5163 1.5758 1.6333 1.6884 1.7328 1.7619 1.7848 1.8256 1.894 1.9671 2.0289 2.1064 2.231 2.3997 2.5784 2.7281 2.8297 2.9041 2.9786 3.0711 3.181 3.2598 3.2816 3.2985 3.3394 3.3696 3.3716 3.3847 3.4186 3.4068 3.3276 3.2044 2.906 2.5479 2.3027 2.1726 2.1132 2.0911 2.0921 2.1114 2.1475 2.1993 2.2646 2.3399 2.4223 2.5105 2.6009 2.6885 2.7732 2.8548 2.9298 2.9919 3.0422 3.0839 3.1096 3.1224 3.1267 3.1223 3.1154 3.1018 3.0802 3.0557 3.028 2.9972 2.9676 2.9415 2.9151 2.8886 2.8645 2.8422 2.8228 2.8057 2.7909 2.7776 2.7651 2.7541 2.7392 2.7162 2.6899 2.6663 2.642 2.6134 2.5821 2.5491 2.5128 2.4722 2.4316 2.3932 2.3526 2.3069 2.2579 2.2018 2.1324 2.0533 1.9742 1.9029 1.8415 1.7882 1.7415 1.6982 1.6529 1.6013 1.546 1.497 1.4641 1.4499 1.4435 1.4205 1.3656 1.2856 1.1962 1.1207 1.0716 1.041 1.0147 .99099 .97771 .97216 .95966 .93174 .89138 .84718 .80786 .77855 .75747 .7284 .67988 .62512 .57912 .54495 .51968 .49985 .48385 .47079 .46003 .45114 .44375 .43778 .43285 .42883 .42544 .42266 .42055 .41907 .41841 .41841 .41909 .42023 .42194 .42421 .42701 .43052 .43466 .43955 .44492 .45063 .45642 .46205 .46743 .47246 .47729 .48166 .48542 .48833 .49045 .49217 .49405 .49686 .50115 .50765 .51635 .52663 .53785 .55039 .5656 .5841 .60562 .62821 .64989 .67004 .6897 .71097 .73605 .76594 .79808 .8267 .84567 .85452 .85932 .8662 .87605 .88541 .8894 .88207 .8596 .82325 .78097 .74216 .71043 .68324 .65657 .6303 .60641 .58599 .56877 .55375 .53994 .52753 .51791 .5107 .50397 .49639 .4864 .47225 .45546 .43953 .42539 .41283 .40169 .392 .38406 .3779 .37339 .36995 .36728 .36526 .36397 .36326 .36275 .36254 .36257 .36278 41.22 1
3.1021 3.0702 2.9665 2.771 2.5403 2.3158 2.1142 1.9428 1.8042 1.6911 1.5931 1.5096 1.4469 1.4054 1.3703 1.323 1.2729 1.2419 1.2311 1.2278 1.2196 1.1962 1.1662 1.1468 1.1314 1.1101 1.0935 1.0917 1.1056 1.1344 1.1718 1.2038 1.2341 1.2776 1.3352 1.4005 1.4694 1.5302 1.5862 1.645 1.6955 1.7235 1.7398 1.7795 1.8537 1.9274 1.9774 2.0436 2.1665 2.3375 2.5263 2.7081 2.849 2.9376 2.9897 3.0387 3.1113 3.1848 3.2245 3.2571 3.3156 3.3599 3.3569 3.3632 3.3813 3.3304 3.2329 3.0661 2.7156 2.3791 2.1698 2.0632 2.0152 1.9985 2.0026 2.0243 2.0622 2.1146 2.1797 2.2554 2.338 2.4244 2.513 2.6021 2.6873 2.7677 2.8424 2.9069 2.9588 2.9949 3.0195 3.0346 3.036 3.0275 3.0117 2.9926 2.9717 2.9453 2.9152 2.8842 2.8525 2.8223 2.7939 2.7655 2.7394 2.7172 2.6977 2.6795 2.6622 2.6469 2.633 2.6183 2.6007 2.578 2.5509 2.5214 2.4888 2.454 2.4176 2.3788 2.338 2.2942 2.2492 2.205 2.1583 2.1082 2.0567 1.999 1.9302 1.8535 1.7786 1.7137 1.6603 1.6155 1.5759 1.5392 1.5015 1.4573 1.4085 1.3663 1.3422 1.34 1.3472 1.3359 1.2883 1.2106 1.1216 1.0486 1.0048 .97972 .95634 .93544 .92555 .92051 .90668 .87927 .83955 .79341 .75125 .71992 .69842 .67102 .62534 .5729 .5288 .49662 .47304 .45472 .44 .42808 .41835 .41033 .40374 .39837 .39403 .39051 .38761 .38523 .38348 .38237 .38186 .38201 .38279 .38413 .38604 .3885 .39145 .39497 .39918 .40411 .40961 .41551 .42153 .42733 .43267 .43756 .44215 .44638 .45 .45287 .4551 .45704 .45926 .46239 .467 .47369 .48265 .49319 .50457 .51722 .53253 .55159 .57411 .5981 .62123 .64304 .66487 .6893 .71916 .75484 .79256 .82521 .84635 .85602 .86044 .86523 .86981 .86951 .86137 .84399 .81575 .77817 .73705 .69936 .66847 .64189 .61581 .58994 .56653 .5471 .53157 .51848 .5061 .4948 .48601 .47898 .47142 .46214 .45005 .43405 .41633 .4003 .38698 .37571 .3658 .35715 .35 .34449 .34042 .33727 .33474 .33291 .3318 .3311 .3306 .33048 .33071 .33105 41.16 1
